2020-01-03,BR,Brazil,AMRO,0,0
2020-01-04,BR,Brazil,AMRO,0,0
2020-01-05,BR,Brazil,AMRO,0,0
2020-01-06,BR,Brazil,AMRO,0,0
2020-01-07,BR,Brazil,AMRO,0,0
2020-01-08,BR,Brazil,AMRO,0,0
2020-01-09,BR,Brazil,AMRO,0,0
2020-01-10,BR,Brazil,AMRO,0,0
2020-01-11,BR,Brazil,AMRO,0,0
2020-01-12,BR,Brazil,AMRO,0,0
2020-01-13,BR,Brazil,AMRO,0,0
2020-01-14,BR,Brazil,AMRO,0,0
2020-01-15,BR,Brazil,AMRO,0,0
2020-01-16,BR,Brazil,AMRO,0,0
2020-01-17,BR,Brazil,AMRO,0,0
2020-01-18,BR,Brazil,AMRO,0,0
2020-01-19,BR,Brazil,AMRO,0,0
2020-01-20,BR,Brazil,AMRO,0,0
2020-01-21,BR,Brazil,AMRO,0,0
2020-01-22,BR,Brazil,AMRO,0,0
2020-01-23,BR,Brazil,AMRO,0,0
2020-01-24,BR,Brazil,AMRO,0,0
2020-01-25,BR,Brazil,AMRO,0,0
2020-01-26,BR,Brazil,AMRO,0,0
2020-01-27,BR,Brazil,AMRO,0,0
2020-01-28,BR,Brazil,AMRO,0,0
2020-01-29,BR,Brazil,AMRO,0,0
2020-01-30,BR,Brazil,AMRO,0,0
2020-01-31,BR,Brazil,AMRO,0,0
2020-02-01,BR,Brazil,AMRO,0,0
2020-02-02,BR,Brazil,AMRO,0,0
2020-02-03,BR,Brazil,AMRO,0,0
2020-02-04,BR,Brazil,AMRO,0,0
2020-02-05,BR,Brazil,AMRO,0,0
2020-02-06,BR,Brazil,AMRO,0,0
2020-02-07,BR,Brazil,AMRO,0,0
2020-02-08,BR,Brazil,AMRO,0,0
2020-02-09,BR,Brazil,AMRO,0,0
2020-02-10,BR,Brazil,AMRO,0,0
2020-02-11,BR,Brazil,AMRO,0,0
2020-02-12,BR,Brazil,AMRO,0,0
2020-02-13,BR,Brazil,AMRO,0,0
2020-02-14,BR,Brazil,AMRO,0,0
2020-02-15,BR,Brazil,AMRO,0,0
2020-02-16,BR,Brazil,AMRO,0,0
2020-02-17,BR,Brazil,AMRO,0,0
2020-02-18,BR,Brazil,AMRO,0,0
2020-02-19,BR,Brazil,AMRO,0,0
2020-02-20,BR,Brazil,AMRO,0,0
2020-02-21,BR,Brazil,AMRO,0,0
2020-02-22,BR,Brazil,AMRO,0,0
2020-02-23,BR,Brazil,AMRO,0,0
2020-02-24,BR,Brazil,AMRO,0,0
2020-02-25,BR,Brazil,AMRO,0,0
2020-02-26,BR,Brazil,AMRO,0,0
2020-02-27,BR,Brazil,AMRO,1,0
2020-02-28,BR,Brazil,AMRO,0,0
2020-02-29,BR,Brazil,AMRO,0,0
2020-03-01,BR,Brazil,AMRO,0,0
2020-03-02,BR,Brazil,AMRO,1,0
2020-03-03,BR,Brazil,AMRO,0,0
2020-03-04,BR,Brazil,AMRO,0,0
2020-03-05,BR,Brazil,AMRO,0,0
2020-03-06,BR,Brazil,AMRO,1,0
2020-03-07,BR,Brazil,AMRO,5,0
2020-03-08,BR,Brazil,AMRO,5,0
2020-03-09,BR,Brazil,AMRO,6,0
2020-03-10,BR,Brazil,AMRO,6,0
2020-03-11,BR,Brazil,AMRO,0,0
2020-03-12,BR,Brazil,AMRO,9,0
2020-03-13,BR,Brazil,AMRO,26,0
2020-03-14,BR,Brazil,AMRO,17,0
2020-03-15,BR,Brazil,AMRO,7,0
2020-03-16,BR,Brazil,AMRO,37,0
2020-03-17,BR,Brazil,AMRO,79,0
2020-03-18,BR,Brazil,AMRO,34,0
2020-03-19,BR,Brazil,AMRO,57,1
2020-03-20,BR,Brazil,AMRO,137,3
2020-03-21,BR,Brazil,AMRO,0,0
2020-03-22,BR,Brazil,AMRO,476,7
2020-03-23,BR,Brazil,AMRO,0,0
2020-03-24,BR,Brazil,AMRO,642,14
2020-03-25,BR,Brazil,AMRO,345,9
2020-03-26,BR,Brazil,AMRO,310,12
2020-03-27,BR,Brazil,AMRO,232,11
2020-03-28,BR,Brazil,AMRO,482,20
2020-03-29,BR,Brazil,AMRO,502,15
2020-03-30,BR,Brazil,AMRO,486,22
2020-03-31,BR,Brazil,AMRO,353,22
2020-04-01,BR,Brazil,AMRO,323,23
2020-04-02,BR,Brazil,AMRO,1138,42
2020-04-03,BR,Brazil,AMRO,1119,40
2020-04-04,BR,Brazil,AMRO,1074,58
2020-04-05,BR,Brazil,AMRO,1146,60
2020-04-06,BR,Brazil,AMRO,1222,73
2020-04-07,BR,Brazil,AMRO,852,54
2020-04-08,BR,Brazil,AMRO,926,67
2020-04-09,BR,Brazil,AMRO,1661,114
2020-04-10,BR,Brazil,AMRO,2210,133
2020-04-11,BR,Brazil,AMRO,1930,141
2020-04-12,BR,Brazil,AMRO,1781,115
2020-04-13,BR,Brazil,AMRO,1089,68
2020-04-14,BR,Brazil,AMRO,1442,99
2020-04-15,BR,Brazil,AMRO,1261,105
2020-04-16,BR,Brazil,AMRO,1832,204
2020-04-17,BR,Brazil,AMRO,3058,204
2020-04-18,BR,Brazil,AMRO,2105,188
2020-04-19,BR,Brazil,AMRO,3257,217
2020-04-20,BR,Brazil,AMRO,2917,206
2020-04-21,BR,Brazil,AMRO,2055,115
2020-04-22,BR,Brazil,AMRO,1927,113
2020-04-23,BR,Brazil,AMRO,2498,166
2020-04-24,BR,Brazil,AMRO,2678,165
2020-04-25,BR,Brazil,AMRO,3735,407
2020-04-26,BR,Brazil,AMRO,3503,357
